51999	С. И. Липкин	Соловьи, «Поговорим о бродягах...»	Д3	5	4	В диком, огнистом тумане\nПесню беспечную спеть\nИ в разноцветном жупане\nВ марево смерти влететь.
56095	А. П. Межиров	«Несколько однообразный...»	Д3	3	2	Сонные всполохи света\nНа берегу, в пустоте,\nИ благодарность за это\nПризрачное бытие.
56209	А. П. Межиров	«Только большие поэты...»	Д3	1	0	Только большие поэты,\nТе что пророкам под стать,\nКровью и водами Леты\nРасполагали писать.
56362	Муни (С. В. Киссин)	«Листьев широких качанье...»	Д3	4	1	Лампы спиртовой гуденье,\nВспышек коротких игра.\nДлинны мои вечера.\nДолги, раздельны мгновенья.
56604	В. В. Набоков	«Карлик безрукий во фраке...»	Д3	5	1	Помнишь зарницы ночные,\nкольца и складки огня?\nПомнишь туманы седые\nдлинного, длинного дня?
56627	В. В. Набоков	Моей матери, «Людям ты скажешь: настало...»	Д3	2	0	Людям ты скажешь: настало.\nЗавтра я в путь соберусь.\n(Голуби.  Двор постоялый.\nРжавая вывеска: Русь.  )
56754	В. В. Набоков	«Шепчут мне странники ветры...»	Д3	3	2	Стелется розовый шелест\nчистой зари по лесам…\nВ небе ли солнце, в душе ли ―\nты и не ведаешь сам…
56945	В. В. Набоков	«Солнечно-нежные губки...»	Д3	3	2	Бледные нежные губки!..\nМало я чувствовал их!..\nМало я знал этих хрупких\nПесней в крови молодых…
58526	Б. Л. Пастернак	«Облако. Звезды. И сбоку ...»	Д3	6	1	Задраны к небу оглобли.\nЛбы голубее олив.\nТабор глядит исподлобья,\nВ звезды мониста вперив.
58916	Б. Л. Пастернак	Седьмой этаж, «Ах, нас напрасно пернатым...»	Д3	4	1	Били часы, и мокрицы\nСлушали, стыли, ползли.\nВыдумать значит открыться,\nЭто ко благу земли.
59000	Г. А. Глинка	Рубикон, «Краской намечена мутной...»	Д3	3	0	Краской намечена мутной\nЖизни суровой стезя.\nВот и решай поминутно:\nМожно, возможно, нельзя?..
59029	Г. А. Глинка	На старте, «Я постарел, не старея...»	Д3	3	2	Волн бестолковые муки,\nДальнего плаванья жуть…\nВ этой последней разлуке,\nДруг мой, меня не забудь.
59035	Г. А. Глинка	Наказание, «Стадо под властью корыта...»	Д3	5	0	Стадо под властью корыта,\nХрюканье и толкотня\nБлагополучно для быта, ―\nВсё это не для меня.
59044	Г. А. Глинка	Простая песенка, «Вспыхнул в прозрачной аллее...»	Д3	5	4	Только боюсь я, настанет\nСкоро весна ― и тогда\nВсё, что замерзло, растает\nИ утечет навсегда.
59051	Г. А. Глинка	Весна, «В зеркале лужи широкой...»	Д3	3	2	А за болотом, где тучей\nСизый сгустился туман,\nСилой весенней, дремучей\nЛеса шумит океан.
59056	Г. А. Глинка	На лесном кордоне, «Эти лесные громады...»	Д3	9	6	Может быть, не было вовсе\nУлиц, трамваев, огней…\nБыли медведи и лоси,\nБыли тока глухарей.
59066	Г. А. Глинка	Чучело, «Тени ложатся, как сети...»	Д3	9	5	После он видел немного.\nТрудное было житье:\nБедность, стихи и тревога.\nВскоре я продал ружье.
59171	Н. Н. Зарудин	Песни старой гитары, «Чтоб никому не мечталось...»	Д3	12	4	Тихо.  Молдавия стара.\n― Спой же нам!  Песня проста.\nБелая вишня ― гитара,\nДевушка Зара ― мечта.
59458	С. В. Петров	Nuptiae maris ,  «Море в бесстыжей браваде...»	Д3	4	0	Море в бесстыжей браваде\nприподнимает чуть-чуть,\nбудто на брачной кровати,\nпенную спину и грудь.
60219	Б. Ю. Поплавский	«Вечер блестит над землею...»	Д3	5	1	Низкое солнце садится\nСерое небо в огне;\nБыстрые, черные птицы\nНосятся стаей в окне.
62585	Б. А. Садовской	Шестидесятые годы, «Вся преисполнена горем...»	Д3	4	0	Вся преисполнена горем,\nПлачет родная страна.\nВодка свирепствует морем,\nИ голодает жена.
